Participant,Sex,Posture,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,M,stand,19,1,2.8537687,113.5340786,113.5340786,9.46117322,9.46117322,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
1,M,stand,20,1,4.8479052,71.78358191,71.78358191,5.981965159,6.807063801,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
1,M,stand,21,1,4.3036027,94.80429037,94.80429037,7.900357531,8.365084444,0,1.057142857,0,0.027777778,0.027777778,1,1,0.945945946,0.054054054,35,0,1,1,35,35,37
1,M,stand,22,1,2.5799123,88.37509709,88.37509709,7.364591424,7.364591424,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
1,M,stand,23,1,2.6916814,111.4544983,111.4544983,9.287874858,9.287874858,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
1,M,stand,24,1,3.9230714,91.76483507,91.76483507,7.647069589,8.156874229,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
1,M,stand,25,1,2.4419806,113.0230109,113.0230109,9.418584243,9.418584243,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
1,M,stand,26,1,3.363768,103.4554107,103.4554107,8.621284226,8.621284226,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
1,M,stand,27,1,3.2094437,104.6910404,104.6910404,8.724253365,8.724253365,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
1,M,stand,28,1,4.5489715,52.75917864,52.75917864,4.39659822,6.155237508,0,1.380952381,0,0.16,0.16,1,1,0.724137931,0.275862069,21,0,4,4,21,21,29
1,M,stand,29,1,4.0131816,110.6354121,110.6354121,9.219617672,9.219617672,0,1,0,0,0,1,1,1,0,38,0,0,0,38,38,38
1,M,stand,30,1,3.0981103,116.1998654,116.1998654,9.683322121,9.683322121,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
2,M,sit,6,1,4.2912885,81.09452441,78.63711458,6.757877034,8.156058489,1,1.2,0.03030303,0.090909091,0.121212121,1,0.75,0.805555556,0.194444444,29,1,3,3,30,30,36
2,M,sit,7,1,4.9808854,81.91314741,81.91314741,6.826095617,7.62916569,0,1.114285714,0,0.054054054,0.054054054,1,1,0.897435897,0.102564103,35,0,2,2,35,35,39
