,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
4,F,stand,6,1,3.6750262,101.2237681,101.2237681,8.435314012,8.435314012,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
4,F,stand,7,1,2.9003183,86.88701513,86.88701513,7.240584594,7.240584594,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
4,F,stand,8,1,2.790786,98.89686991,98.89686991,8.241405826,8.241405826,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
4,F,stand,9,1,5.8213524,82.45506663,82.45506663,6.871255552,7.901943885,0,1.146341463,0,0.068181818,0.068181818,1,1,0.872340426,0.127659574,41,0,3,3,41,41,47
4,F,stand,10,1,2.8703698,121.2387338,121.2387338,10.10322781,10.10322781,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
4,F,stand,11,1,3.8176982,91.15440293,91.15440293,7.596200244,7.596200244,0,1,0,0,0,1,1,1,0,30,0,0,0,30,30,30
4,F,stand,12,1,4.4336766,83.90327793,83.90327793,6.991939827,6.991939827,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
4,F,stand,13,1,4.1728538,103.5262726,103.5262726,8.627189383,8.627189383,0,1,0,0,0,1,1,1,0,37,0,0,0,37,37,37
4,F,stand,14,1,4.1697687,92.09143903,92.09143903,7.674286586,8.633572409,0,1.121212121,0,0.057142857,0.057142857,1,1,0.891891892,0.108108108,33,0,2,2,33,33,37
4,F,stand,15,1,4.8869683,88.39836346,88.39836346,7.366530288,7.775781971,0,1.054054054,0,0.026315789,0.026315789,1,1,0.948717949,0.051282051,37,0,1,1,37,37,39
4,F,stand,16,1,2.6981069,106.7415083,106.7415083,8.89512569,8.89512569,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
4,F,stand,17,1,4.8903631,88.33699894,88.33699894,7.361416579,7.770384166,0,1.054054054,0,0.026315789,0.026315789,1,1,0.948717949,0.051282051,37,0,1,1,37,37,39
4,F,stand,18,1,2.8976758,107.6725008,107.6725008,8.972708403,8.972708403,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
4,F,stand,19,1,2.6811228,116.369157,116.369157,9.697429748,9.697429748,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
4,F,stand,20,1,3.4904577,110.0142254,110.0142254,9.167852113,9.167852113,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
4,F,stand,21,1,3.3944068,113.1272775,113.1272775,9.427273125,9.427273125,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
4,F,stand,22,1,4.2626724,67.56324976,67.56324976,5.630270813,6.568649282,0,1.16,0,0.074074074,0.074074074,1,1,0.862068966,0.137931034,25,0,2,2,25,25,29
4,F,stand,23,1,4.103738,90.6490619,90.6490619,7.554088492,8.04144904,0,1.0625,0,0.03030303,0.03030303,1,1,0.941176471,0.058823529,32,0,1,1,32,32,34
4,F,stand,24,1,2.7853576,112.0143424,112.0143424,9.334528536,9.334528536,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
4,F,stand,25,1,3.1552535,106.4890666,106.4890666,8.874088881,8.874088881,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
4,F,stand,26,1,4.0608002,88.6524779,88.6524779,7.387706492,7.880220258,0,1.064516129,0,0.03125,0.03125,1,1,0.939393939,0.060606061,31,0,1,1,31,31,33
4,F,stand,27,1,4.3913118,62.85137849,62.85137849,5.237614874,6.148504417,0,1.166666667,0,0.076923077,0.076923077,1,1,0.857142857,0.142857143,24,0,2,2,24,24,28
4,F,stand,28,1,1.9433126,117.325437,117.325437,9.777119749,9.777119749,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
4,F,stand,29,1,6.4753284,63.00838734,63.00838734,5.250698945,7.412751452,0,1.4,0,0.166666667,0.166666667,1,1,0.714285714,0.285714286,35,0,7,7,35,35,49
4,F,stand,30,1,2.4884113,91.62472458,91.62472458,7.635393715,8.439119369,0,1.1,0,0.047619048,0.047619048,1,1,0.909090909,0.090909091,20,0,1,1,20,20,22
