,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
6,M,stand,6,1,6.6918127,60.97002685,60.97002685,5.080835571,5.678580932,0,1.114285714,0,0.054054054,0.054054054,1,1,0.897435897,0.102564103,35,0,2,2,35,35,39
6,M,stand,7,1,5.6086741,47.06994831,45.10870047,3.922495693,3.922495693,1,1,0.041666667,0,0.041666667,1,0,0.958333333,0.041666667,23,1,0,0,24,23,23
6,M,stand,8,1,4.9609661,65.30985971,65.30985971,5.442488309,5.442488309,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
6,M,stand,9,1,5.0413073,69.02971378,69.02971378,5.752476148,6.545921134,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
6,M,stand,10,1,5.5657506,68.99338968,68.99338968,5.74944914,5.74944914,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
6,M,stand,11,1,7.8413152,42.84995456,42.84995456,3.570829547,4.59106656,0,1.275862069,0,0.121212121,0.121212121,1,1,0.783783784,0.216216216,29,0,4,4,29,29,37
6,M,stand,12,1,6.8986434,67.83942478,64.44745354,5.653285398,5.653285398,2,1,0.05,0,0.05,1,0,0.95,0.05,38,2,0,0,40,40,40
6,M,stand,13,1,5.6417963,53.17455364,51.40206852,4.431212804,5.849200901,1,1.307692308,0.033333333,0.133333333,0.166666667,1,0.8,0.735294118,0.264705882,25,1,4,4,26,26,34
6,M,stand,14,1,4.6767349,66.71321053,66.71321053,5.559434211,5.559434211,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
6,M,stand,15,1,2.7478043,82.97534144,82.97534144,6.914611787,6.914611787,0,1,0,0,0,1,1,1,0,20,0,0,0,20,20,20
6,M,stand,16,1,6.7013028,59.09298711,57.45151525,4.924415593,5.521314452,1,1.117647059,0.027777778,0.055555556,0.083333333,1,0.666666667,0.868421053,0.131578947,33,1,2,2,34,34,38
6,M,stand,17,1,5.0239951,64.49050876,64.49050876,5.374209063,5.374209063,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
6,M,stand,18,1,3.5447367,77.86191849,77.86191849,6.488493207,6.488493207,0,1,0,0,0,1,1,1,0,24,0,0,0,24,24,24
6,M,stand,19,1,9.5852299,50.07704614,48.88473552,4.173087179,4.381741538,1,1.048780488,0.023809524,0.023809524,0.047619048,1,0.5,0.930232558,0.069767442,40,1,1,1,41,41,43
6,M,stand,20,1,1.9263115,93.44283103,93.44283103,7.786902586,7.786902586,0,1,0,0,0,1,1,1,0,16,0,0,0,16,16,16
6,M,stand,21,1,3.4852671,82.63355196,76.0228678,6.88612933,6.88612933,2,1,0.08,0,0.08,1,0,0.92,0.08,23,2,0,0,25,25,25
6,M,stand,22,1,5.5848996,62.31087843,62.31087843,5.192573202,5.908790196,0,1.133333333,0,0.0625,0.0625,1,1,0.882352941,0.117647059,30,0,2,2,30,30,34
6,M,stand,23,1,11.1054844,34.57751019,34.57751019,2.881459182,3.962006376,0,1.363636364,0,0.153846154,0.153846154,1,1,0.733333333,0.266666667,33,0,6,6,33,33,45
6,M,stand,24,1,7.9209106,45.44931993,44.11257523,3.787443328,4.544931993,1,1.193548387,0.029411765,0.088235294,0.117647059,1,0.75,0.810810811,0.189189189,30,1,3,3,31,31,37
6,M,stand,25,1,9.292059,43.9084599,43.9084599,3.659038325,3.874275874,0,1.057142857,0,0.027777778,0.027777778,1,1,0.945945946,0.054054054,35,0,1,1,35,35,37
6,M,stand,26,1,4.6243386,54.49427946,52.22368449,4.541189955,4.973684237,1,1.090909091,0.041666667,0.041666667,0.083333333,1,0.5,0.88,0.12,22,1,1,1,23,22,24
6,M,stand,27,1,4.7439745,63.23811395,63.23811395,5.269842829,5.269842829,0,1,0,0,0,1,1,1,0,26,0,0,0,26,26,26
6,M,stand,28,1,8.1078781,39.9611336,39.9611336,3.330094467,4.563462788,0,1.357142857,0,0.151515152,0.151515152,1,1,0.736842105,0.263157895,28,0,5,5,28,28,38
6,M,stand,29,1,9.5065657,49.22913434,49.22913434,4.102427862,4.312808778,0,1.05,0,0.024390244,0.024390244,1,1,0.952380952,0.047619048,40,0,1,1,40,40,42
6,M,stand,30,1,5.8896535,63.16161044,63.16161044,5.263467537,5.263467537,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
