,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
10,M,stand,6,1,3.399472,112.9587183,112.9587183,9.413226525,10.00155318,0,1.060606061,0,0.029411765,0.029411765,1,1,0.942857143,0.057142857,33,0,1,1,33,33,35
10,M,stand,7,1,2.5708092,144.7015204,144.7015204,12.05846004,12.05846004,0,1,0,0,0,1,1,1,0,32,0,0,0,32,32,32
10,M,stand,8,1,3.1152766,127.1155184,123.3768267,10.59295987,10.59295987,1,1,0.029411765,0,0.029411765,1,0,0.970588235,0.029411765,33,1,0,0,34,34,34
10,M,stand,9,1,4.218093,82.50173716,82.50173716,6.875144763,8.297588507,0,1.2,0,0.090909091,0.090909091,1,1,0.833333333,0.166666667,30,0,3,3,30,30,36
10,M,stand,10,1,2.4026928,139.843096,139.843096,11.65359134,11.65359134,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
10,M,stand,11,1,2.0210292,154.3767898,154.3767898,12.86473248,12.86473248,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
10,M,stand,12,1,3.6018847,103.2792638,103.2792638,8.606605314,9.717135032,0,1.125,0,0.058823529,0.058823529,1,1,0.888888889,0.111111111,32,0,2,2,32,32,36
10,M,stand,13,1,3.0092762,127.6054355,127.6054355,10.63378629,11.29839793,0,1.060606061,0,0.029411765,0.029411765,1,1,0.942857143,0.057142857,33,0,1,1,33,33,35
10,M,stand,14,1,3.7652113,82.8638754,80.27437929,6.90532295,9.030037703,1,1.296296296,0.03125,0.125,0.15625,1,0.8,0.75,0.25,27,1,4,4,28,27,35
10,M,stand,15,1,2.0013932,161.8872294,156.3049111,13.49060245,13.49060245,1,1,0.034482759,0,0.034482759,1,0,0.965517241,0.034482759,28,1,0,0,29,28,28
10,M,stand,16,1,1.971152,133.9318328,133.9318328,11.16098606,11.16098606,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
10,M,stand,17,1,2.143199,145.5767757,140.3776051,12.13139797,12.13139797,1,1,0.035714286,0,0.035714286,1,0,0.964285714,0.035714286,27,1,0,0,28,27,27
10,M,stand,18,1,1.6038857,134.6729384,134.6729384,11.22274486,11.22274486,0,1,0,0,0,1,1,1,0,19,0,0,0,19,19,19
10,M,stand,19,1,2.675567,125.5808582,121.2504838,10.46507152,10.46507152,1,1,0.034482759,0,0.034482759,1,0,0.965517241,0.034482759,28,1,0,0,28,29,29
10,M,stand,20,1,5.8637901,71.62602904,71.62602904,5.968835754,8.697446384,0,1.444444444,0,0.181818182,0.181818182,1,1,0.692307692,0.307692308,36,0,8,8,36,36,52
10,M,stand,21,1,2.8975983,132.5235454,132.5235454,11.04362879,11.04362879,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
10,M,stand,22,1,2.3939426,130.3289394,125.6743344,10.86074495,10.86074495,1,1,0.035714286,0,0.035714286,1,0,0.964285714,0.035714286,27,1,0,0,28,27,27
10,M,stand,23,1,2.679417,111.964655,111.964655,9.330387916,10.82324998,0,1.153846154,0,0.071428571,0.071428571,1,1,0.866666667,0.133333333,26,0,2,2,26,26,30
10,M,stand,24,1,1.5057412,167.3594373,167.3594373,13.94661978,13.94661978,0,1,0,0,0,1,1,1,0,22,0,0,0,22,22,22
10,M,stand,25,1,2.1418066,156.8769094,156.8769094,13.07307579,13.07307579,0,1,0,0,0,1,1,1,0,29,0,0,0,29,29,29
10,M,stand,26,1,2.8424478,75.99084141,75.99084141,6.332570118,9.147045726,0,1.421052632,0,0.173913043,0.173913043,1,1,0.703703704,0.296296296,19,0,4,4,19,19,27
10,M,stand,27,1,4.621226,80.4981189,80.4981189,6.708176575,8.439318917,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,32,0,4,4,32,32,40
10,M,stand,28,1,2.9719011,100.9454857,100.9454857,8.412123809,9.085093713,0,1.076923077,0,0.037037037,0.037037037,1,1,0.928571429,0.071428571,26,0,1,1,26,26,28
10,M,stand,29,1,2.2685024,132.2458376,117.5518557,11.02048647,11.02048647,3,1,0.111111111,0,0.111111111,1,0,0.888888889,0.111111111,24,3,0,0,27,26,26
10,M,stand,30,1,3.288615,142.3091484,138.9208353,11.8590957,12.46725445,1,1.05,0.023809524,0.023809524,0.047619048,1,0.5,0.930232558,0.069767442,40,1,1,1,41,40,42
